Employee Name,Date,Start Time,End Time,Break Duration
Jane Smith,2024-03-01,09:00,18:00,30
Jane Smith,2024-03-02,09:00,18:30,30
Jane Smith,2024-03-03,08:00,17:00,15
Jane Smith,2024-03-04,09:00,18:00,30
Jane Smith,2024-03-05,09:00,19:00,20
Jane Smith,2024-03-06,22:00,06:00,30
John Doe,2024-03-01,07:00,15:00,30
John Doe,2024-03-02,07:00,15:00,30
John Doe,2024-03-03,07:00,15:00,30
John Doe,2024-03-04,07:00,15:00,30
John Doe,2024-03-05,07:00,15:00,30
John Doe,2024-03-06,12:00,20:00,25
Alice Johnson,2024-03-01,06:00,14:00,30
Alice Johnson,2024-03-02,06:00,14:30,20
Alice Johnson,2024-03-03,06:00,14:00,30
Alice Johnson,2024-03-04,06:00,12:00,0
Alice Johnson,2024-03-05,06:00,18:00,30
Bob Williams,2024-03-01,23:00,07:00,30
Bob Williams,2024-03-02,23:00,07:00,30
Bob Williams,2024-03-03,23:00,08:00,15
Bob Williams,2024-03-04,23:00,07:00,30
Bob Williams,2024-03-05,23:00,07:00,0
Bob Williams,2024-03-06,07:00,16:00,30
